title,aliases,year,month,category,ep,tid,replies,views,post_time,votes1,votes2,votes3,votes4,votes5,message,score,standard_deviation
超时空辉夜姬！,,2026,1,WEB,1,2272992,10,1099,2026-1-22 17:39,117,23,9,3,0,,167.1053,0.6764
"我怎么可能成为你的恋人,不行不行!(※不是不可能!?)~再次闪耀!~",,2025,12,TV,5,2271239,0,171,2026-1-1 02:36,15,1,1,0,2,,142.1053,1.2697
百米。,,2025,9,MOV,1,2271176,1,181,2025-12-31 11:49,2,3,3,2,0,,50.0000,1.0247
辉夜大小姐想让我告白 迈向大人的阶梯,,2025,12,TV,1,2270987,0,183,2025-12-31 21:56,19,3,0,1,1,,158.3333,0.9965
这里是充满笑容的职场。,,2025,10,TV,13,2270984,1,117,2025-12-29 15:08,10,7,0,0,3,,105.0000,1.3592
不擅吸血的吸血鬼,,2025,10,TV,12,2270983,0,30,2025-12-29 15:06,0,0,1,2,0,,-66.6667,0.4714
小手指同学请别乱摸,,2025,10,TV,12,2270982,1,51,2025-12-29 15:04,1,0,2,1,1,,-20.0000,1.3266
一拳超人 第三季,,2025,10,TV,12,2270953,2,140,2025-12-29 10:17,0,1,1,2,9,,-146.1538,0.9295
双人单身露营,,2025,7,TV,24,2270920,0,36,2025-12-28 20:46,0,0,1,1,0,,-50.0000,0.5000
无职英雄～技能什么的毫无用处～,,2025,10,TV,12,2270918,0,52,2025-12-28 20:41,0,0,2,2,3,,-114.2857,0.8330
差点在迷宫深处被信任的伙伴杀掉，但靠着天赐技能“无限扭蛋”获...,,2025,10,TV,12,2270916,0,56,2025-12-28 20:35,0,0,5,1,2,,-62.5000,0.8570
间谍过家家 第三季,,2025,10,TV,13,2270888,0,101,2025-12-28 15:01,2,10,1,1,1,,73.3333,0.9978
转生恶女的黑历史,,2025,10,TV,12,2270886,0,30,2025-12-28 14:46,0,1,2,1,0,,0.0000,0.7071
渡君的XX即将崩坏,,2025,7,TV,26,2270885,0,32,2025-12-28 14:42,0,0,0,0,2,,-200.0000,0.0000
变身圣诞老人,,2025,10,TV,12,2270669,0,67,2025-12-26 03:18,0,0,2,2,1,,-80.0000,0.7483
绝妙舞步,,2025,10,TV,12,2270668,0,94,2025-12-26 03:14,1,4,0,2,2,,0.0000,1.4142
小林家的龙女仆：害怕寂寞的龙,,2025,6,MOV,1,2270667,0,115,2025-12-26 03:08,1,1,9,2,1,,-7.1429,0.8835
对我垂涎欲滴的非人少女,,2025,10,TV,13,2270666,0,151,2025-12-26 02:54,13,5,2,2,4,,80.7692,1.4941
机械女仆玛丽,,2025,10,TV,12,2270663,0,54,2025-12-26 00:41,0,1,2,1,1,,-40.0000,1.0198
阿尔玛酱想成为家人,,2025,10,TV,11,2270661,0,41,2025-12-26 00:11,0,3,0,1,1,,0.0000,1.2649
忍者与极道,,2025,10,TV,12,2270465,0,86,2025-12-24 15:18,1,5,1,0,1,,62.5000,1.1110
异世界四重奏3,,2025,10,TV,11,2270462,0,49,2025-12-24 15:03,1,1,2,0,0,,75.0000,0.8292
最后可以再拜托您一件事吗？,,2025,10,TV,13,2270461,1,101,2025-12-24 14:59,0,9,3,2,1,,33.3333,0.9428
身为暗杀者的我明显比勇者还强,,2025,10,TV,12,2270445,2,103,2025-12-24 12:29,0,0,1,4,14,,-168.4211,0.5669
3年Z班银八老师,,2025,10,TV,12,2270442,0,46,2025-12-24 12:19,0,0,4,1,1,,-50.0000,0.7638
拥有超常技能的异世界流浪美食家2,,2025,10,TV,12,2270405,0,55,2025-12-24 00:20,0,3,0,1,2,,-33.3333,1.3744
不动声色的柏田与喜形于色的太田,,2025,10,TV,12,2270390,0,39,2025-12-23 19:43,0,2,1,0,0,,66.6667,0.4714
矢野同学观察日记,,2025,10,TV,12,2270388,0,34,2025-12-23 19:32,0,0,0,2,1,,-133.3333,0.4714
笨拙至极的前辈。,,2025,10,TV,12,2270386,0,29,2025-12-23 19:27,0,1,1,1,1,,-50.0000,1.1180
野生的大魔王出现了！,,2025,10,TV,12,2270384,2,146,2025-12-23 19:21,1,16,1,1,1,,75.0000,0.8292
Let's Play 充满挑战的人生,,2025,10,TV,12,2270383,0,46,2025-12-23 19:19,0,0,0,2,1,,-133.3333,0.4714
末世二轮之旅,,2025,10,TV,12,2270381,1,83,2025-12-23 19:16,1,1,3,2,2,,-33.3333,1.2472
废渊战鬼,,2025,7,TV,24,2270292,1,101,2025-12-22 22:17,0,4,1,0,1,,33.3333,1.1055
转生后的我成了英雄爸爸和精灵妈妈的女儿。,,2025,10,TV,12,2270291,0,45,2025-12-22 22:16,0,0,0,0,4,,-200.0000,0.0000
野原广志 午餐的流派,,2025,10,TV,12,2270277,0,97,2025-12-22 20:30,2,4,3,0,0,,88.8889,0.7370
赛马娘 芦毛灰姑娘 后半,,2025,10,TV,10,2270251,0,113,2025-12-22 14:31,3,7,3,1,1,,66.6667,1.0750
叹气的亡灵想隐退 第二季,,2025,10,TV,11,2270250,0,90,2025-12-22 14:28,1,8,0,3,1,,38.4615,1.1461
朋友的妹妹只喜欢烦我,,2025,10,TV,12,2270235,0,76,2025-12-22 11:13,0,2,3,1,0,,16.6667,0.6872
乱马½(2024) 第二季,,2025,10,TV,12,2270187,2,155,2025-12-21 11:38,16,5,1,0,2,,137.5000,1.1479
永远的黄昏,,2025,10,TV,12,2270087,5,350,2025-12-20 01:00,0,0,1,4,36,,-185.3659,0.4168
发错区了 求删除,,,,,,2269521,0,18,2025-12-13 16:35,0,0,0,0,0,投票不存在或者无法访问,0.0000,0.0000
电锯人 剧场版：蕾塞篇,,2025,9,MOV,1,2269160,11,880,2025-12-9 09:58,97,13,5,0,4,,167.2269,0.8413
藤本树17-26,,2025,11,WEB,8,2268555,2,143,2025-12-1 17:53,2,8,3,2,0,,66.6667,0.8692
疯狂动物城 2,,2025,11,MOV,1,2268413,5,392,2025-11-29 22:20,3,32,16,1,1,,66.0377,0.6989
鬼灭之刃 无限城篇 第一章 猗窝座再袭,,2025,7,MOV,1,2267191,11,655,2025-11-14 11:10,21,37,23,5,1,,82.7586,0.8996
剧场版世界计划 崩坏的世界与无法歌唱的初音未来,,2025,1,MOV,1,2265615,3,245,2025-10-26 18:42,0,2,11,2,3,,-33.3333,0.8819
水属性的魔法师,,2025,7,TV,12,2263746,0,67,2025-10-5 20:23,0,0,3,0,3,,-100.0000,1.0000
失神勇者与暗杀公主,,2025,7,TV,12,2263745,0,51,2025-10-5 20:19,0,1,1,1,0,,0.0000,0.8165
肥宅勇者,,2025,7,TV,12,2263741,0,61,2025-10-5 19:37,0,1,0,2,1,,-75.0000,1.0897
异世界默示录米诺戈拉～从灭亡的文明开始的世界征服～,,2025,7,TV,13,2263739,0,65,2025-10-5 19:27,0,1,4,0,1,,-16.6667,0.8975
地缚少年花子君2,,2025,1,TV,24,2263737,0,29,2025-10-5 19:09,0,0,0,1,0,,-100.0000,0.0000
真·武士传 剑勇传说,,2025,4,TV,24,2263674,0,99,2025-10-4 21:48,0,2,8,1,1,,-8.3333,0.7592
魔女与使魔,,2025,4,TV,25,2263668,0,126,2025-10-4 21:14,1,5,8,1,0,,40.0000,0.7118
Silent Witch 沉默魔女的秘密,,2025,7,TV,13,2263667,5,253,2025-10-4 20:39,3,16,13,4,0,,50.0000,0.7993
安妮·雪莉,,2025,4,TV,24,2263651,0,62,2025-10-4 17:23,0,2,2,5,0,,-33.3333,0.8165
明日方舟：焰烬曙明,,2025,7,TV,10,2263647,0,61,2025-10-4 16:38,0,0,0,0,4,,-200.0000,0.0000
欢迎光临流放者食堂！,,2025,7,TV,12,2263645,1,52,2025-10-4 16:05,0,0,2,2,0,,-50.0000,0.5000
光死去的夏天,,2025,7,TV,12,2263622,0,157,2025-10-4 10:16,4,5,3,5,0,,47.0588,1.1437
三国的星空 第一部,,2025,10,MOV,1,2263620,1,227,2025-10-4 09:54,0,0,1,1,16,,-183.3333,0.5000
帝乃三姐妹原来很好搞定。,,2025,7,TV,12,2263434,1,57,2025-10-1 13:41,1,0,2,2,0,,0.0000,1.0954
转生成自动贩卖机的我今天也在迷宫徘徊 第二季,,2025,7,TV,12,2263431,0,41,2025-10-1 12:52,0,0,1,0,2,,-133.3333,0.9428
盾之勇者成名录 第四季,,2025,7,TV,12,2263428,0,46,2025-10-1 12:30,0,0,1,0,1,,-100.0000,1.0000
突变英雄X,,2025,4,TV,24,2263375,0,122,2025-9-30 17:27,5,1,2,1,9,,-44.4444,1.7392
鬼人幻灯抄,,2025,4,TV,24,2263362,0,80,2025-9-30 15:34,6,2,1,4,0,,76.9231,1.3100
怪兽8号 第二季,,2025,7,TV,11,2263355,0,81,2025-9-30 14:09,1,0,1,8,2,,-83.3333,0.9860
Summer Pockets,,2025,4,TV,26,2263303,2,220,2025-9-30 00:03,3,4,8,2,7,,-25.0000,1.3617
转生为第七王子，随心所欲的魔法学习之路 第二季,,2025,7,TV,12,2263298,0,83,2025-9-29 21:14,1,2,5,2,0,,20.0000,0.8718
外星人姆姆,,2025,4,TV,24,2263296,0,59,2025-9-29 20:40,0,3,2,1,0,,33.3333,0.7454
死灵之子的宇宙恐怖秀,,2025,7,TV,12,2263293,0,90,2025-9-29 20:20,0,1,3,0,8,,-125.0000,1.0897
CITY,,2025,7,TV,13,2263220,6,470,2025-9-29 02:53,12,19,5,3,10,,40.8163,1.4416
与游戏中心的少女异文化交流的故事,,2025,7,TV,12,2263218,0,73,2025-9-29 01:10,1,1,3,3,0,,0.0000,1.0000
瑠璃的宝石,,2025,7,TV,13,2263216,16,891,2025-9-29 00:41,97,9,2,1,4,,171.6814,0.8463
薰香花朵凛然绽放,,2025,7,TV,13,2263145,3,211,2025-9-28 00:42,6,13,7,2,1,,72.4138,0.9790
青春猪头少年不会梦到圣诞服女郎,,2025,7,TV,13,2263144,2,159,2025-9-28 00:18,0,9,4,2,1,,31.2500,0.9164
9-nine- 支配者的王冠,,2025,7,TV,13,2263142,0,108,2025-9-27 23:51,0,0,3,2,4,,-111.1111,0.8749
拔作岛,,2025,7,TV,11,2263085,1,334,2025-9-27 04:17,2,4,20,8,1,,-5.7143,0.8261
和雨和你（邂逅雨中貉）,,2025,7,TV,12,2263075,0,106,2025-9-26 21:42,3,4,4,1,0,,75.0000,0.9242
神椿市建设中。,,2025,7,TV,13,2263022,2,201,2025-9-26 12:23,0,0,0,1,11,,-191.6667,0.2764
保龄球少女！,,2025,7,TV,12,2262936,3,260,2025-9-25 10:16,1,0,1,1,29,,-178.1250,0.7800
新吊带袜天使,,2025,7,TV,13,2262930,4,602,2025-9-25 09:44,17,45,13,7,4,,74.4186,1.0137
杜鹃的婚约 第二季,,2025,7,TV,12,2262837,0,50,2025-9-24 01:45,0,0,2,0,3,,-120.0000,0.9798
活死喵之夜,,2025,7,TV,12,2262785,0,72,2025-9-23 14:36,0,0,1,1,3,,-140.0000,0.8000
我怎么可能成为你的恋人，不行不行！（※不是不可能！？）,,2025,7,TV,12,2262744,8,854,2025-9-23 04:31,72,14,4,2,4,,154.1667,0.9781
碧蓝之海 第二季,,2025,7,TV,12,2262743,2,182,2025-9-23 04:29,0,6,8,6,1,,-9.5238,0.8677
可爱史莱姆噗尼露 第二季,,2025,7,TV,12,2262742,0,110,2025-9-23 04:27,4,9,2,0,0,,113.3333,0.6182
更衣人偶坠入爱河 第二季,,2025,7,TV,12,2262609,2,277,2025-9-21 15:43,22,14,2,3,0,,134.1463,0.8726
公爵千金的家庭教师,,2025,7,TV,12,2262607,0,57,2025-9-21 15:08,0,0,1,5,0,,-83.3333,0.3727
租借女友 第四季,,2025,7,TV,12,2262604,0,118,2025-9-21 14:28,0,0,0,0,5,,-200.0000,0.0000
不良少女,坏女孩,2025,7,TV,12,2262586,1,242,2025-9-21 00:33,21,6,3,3,1,,126.4706,1.1196
彻夜之歌 第二季,,2025,7,TV,12,2262480,4,350,2025-9-20 00:46,28,8,3,2,0,,151.2195,0.8300
明天，美食广场见。,,2025,7,TV,6,2262449,3,289,2025-9-19 18:34,14,18,1,4,0,,113.5135,0.9053
胆大党 第二季,当哒当 第二季,2025,7,TV,12,2262440,5,389,2025-9-19 16:38,3,27,13,4,2,,51.0204,0.8835
歌声是法式千层酥,歌声是千层派,2025,7,TV,10,2262408,1,155,2025-9-19 11:10,1,8,2,2,3,,12.5000,1.2686
银河特急 Milky☆Subway,,2025,7,TV,12,2262378,3,487,2025-9-19 07:00,39,6,3,2,1,,156.8627,0.9130
最近的侦探真没用,,2025,7,TV,12,2262364,3,240,2025-9-18 23:19,6,14,3,2,0,,96.0000,0.8237
Clevatess-魔兽之王与婴儿与尸之勇者-,,2025,7,TV,12,2262362,0,317,2025-9-18 22:01,6,24,4,3,0,,89.1892,0.7635
阴阳回天 Re:Birth,,2025,7,TV,12,2262335,1,159,2025-9-18 16:18,1,1,2,7,3,,-71.4286,1.0973
诡秘之主 小丑篇,,2025,6,TV,13,2261900,0,211,2025-9-13 11:48,1,4,0,0,7,,-66.6667,1.5986
浪浪山小妖怪,,2025,8,MOV,1,2258254,10,1135,2025-8-4 11:02,118,19,7,1,6,,160.2649,0.9213
章鱼噼的原罪,,2025,6,WEB,6,2258097,3,526,2025-8-2 03:51,7,10,11,2,13,,-9.3023,1.4598
利维坦号战记,,2025,7,WEB,12,2257667,2,75,2025-7-28 17:21,0,2,2,0,0,,50.0000,0.5000
聊斋：兰若寺,,2025,7,MOV,1,2257398,0,198,2025-7-25 15:19,3,4,1,1,7,,-31.2500,1.6477
罗小黑战记2,,2025,7,MOV,1,2256827,10,1395,2025-7-18 13:36,41,31,5,1,7,,115.2941,1.1428
莉可丽丝 友谊是时间的窃贼。,,2025,4,WEB,6,2255685,1,263,2025-7-5 02:32,5,21,8,0,1,,82.8571,0.7741
拜托请穿上，鹰峰同学,,2025,4,TV,12,2255684,0,162,2025-7-5 02:13,1,0,0,3,6,,-130.0000,1.1874
药屋少女的呢喃 第二季,,2025,1,TV,24,2255680,4,419,2025-7-5 00:01,7,34,5,0,3,,85.7143,0.8806
快藏好！玛琪娜同学！！,,2025,4,TV,12,2255678,0,93,2025-7-4 23:59,2,0,3,0,0,,80.0000,0.9798
离开A级队伍的我，和从前的弟子往迷宫深处迈进。,,2025,1,TV,24,2255670,0,72,2025-7-4 22:32,0,1,3,2,0,,-16.6667,0.6872
赛马娘 芦毛灰姑娘,,2025,4,TV,13,2255651,4,290,2025-7-4 17:38,11,33,0,1,2,,106.3830,0.8355
九龙大众浪漫,,2025,4,TV,13,2255623,0,220,2025-7-4 14:00,0,7,10,1,1,,21.0526,0.7663
mono女孩,,2025,4,TV,12,2255621,3,375,2025-7-4 13:21,1,25,25,0,3,,38.8889,0.7798
紫云寺家的兄弟姐妹,,2025,4,TV,12,2255606,0,88,2025-7-4 10:32,0,2,5,3,1,,-27.2727,0.8624
你与我最后的战场，亦或是世界起始的圣战 第二季,,2024,7,TV,12,2255584,0,55,2025-7-4 03:28,0,0,1,2,1,,-100.0000,0.7071
推理要在晚餐后,,2025,4,TV,12,2255202,0,126,2025-6-30 10:25,0,2,6,3,2,,-38.4615,0.9231
拉撒路,LAZARUS,2025,4,TV,13,2255196,3,686,2025-6-30 09:22,0,0,6,5,74,,-180.0000,0.5488
岁月流逝饭菜依旧美味,时光流逝饭菜依旧美味,2025,4,TV,12,2255120,3,597,2025-6-29 06:55,60,27,9,3,2,,138.6139,0.9116
记忆缝线,,2025,4,TV,13,2255014,3,174,2025-6-27 16:13,0,0,2,2,12,,-162.5000,0.6960
摇滚乃是淑女的爱好,,2025,4,TV,12,2255008,5,438,2025-6-27 15:33,3,11,33,8,1,,12.5000,0.7806
忍者与杀手的两人生活,忍者×杀手二人组的日常生活,2025,4,TV,12,2254946,13,1074,2025-6-26 22:24,109,15,2,1,7,,162.6866,0.9672
末日后酒店,,2025,4,TV,12,2254786,22,1965,2025-6-25 08:23,173,15,15,3,1,,171.9807,0.7011
机动战士高达 GQuuuuuuX,,2025,4,TV,12,2254775,22,1525,2025-6-25 00:03,10,47,36,27,70,,-52.6316,1.3404
随兴旅 -That's Journey-,,2025,4,TV,12,2254761,2,215,2025-6-24 21:03,1,1,16,6,2,,-26.9231,0.8113
直至魔女消逝,,2025,4,TV,12,2254757,1,192,2025-6-24 20:35,0,3,8,4,3,,-38.8889,0.9510
测不准的阿波连同学 第二季,,2025,4,TV,12,2254705,0,101,2025-6-24 13:55,0,3,9,0,1,,7.6923,0.7298
阳光马达棒球场！,,2025,4,TV,12,2254661,0,238,2025-6-23 21:15,13,15,4,2,1,,105.7143,0.9840
乡下大叔成为剑圣,,2025,4,TV,12,2254656,3,208,2025-6-23 20:33,0,1,7,4,8,,-95.0000,0.9734
我是星际国家的恶德领主！,,2025,4,TV,12,2254655,3,180,2025-6-23 20:09,0,5,4,1,5,,-40.0000,1.2543
增田幸助剧场 搞笑漫画日和GO,,2025,4,TV,12,2254612,2,125,2025-6-23 12:14,0,2,12,1,0,,6.6667,0.4422
打了300年的史莱姆，不知不觉就练到了满级～其二～,,2025,4,TV,12,2254609,1,126,2025-6-23 11:27,1,0,10,3,2,,-31.2500,0.9164
男女之间存在纯友情吗？（不，不存在！！）,,2025,4,TV,12,2254605,1,209,2025-6-23 11:12,0,1,10,7,8,,-84.6154,0.9069
圣女因太过完美不够可爱而被废除婚约并卖到邻国,,2025,4,TV,12,2254594,1,166,2025-6-23 10:03,0,1,2,2,5,,-110.0000,1.0440
前桥魔女,,2025,4,TV,12,2254568,4,619,2025-6-22 22:54,15,33,6,2,5,,83.6066,1.0891
小市民系列 第二季,,2025,4,TV,12,2254530,5,560,2025-6-22 15:30,27,33,7,4,5,,96.0526,1.1173
Thunderbolt Fantasy 东离剑游纪 最终章,,2025,2,MOV,1,2254002,0,187,2025-6-16 16:21,1,1,6,2,5,,-60.0000,1.2000
火凤燎原 第二季,,2025,1,TV,16,2251289,2,148,2025-4-24 15:36,3,5,0,0,0,,137.5000,0.4841
超超超超超喜欢你的100个女朋友 第二季,,2025,1,TV,12,2251027,0,259,2025-4-16 14:35,20,4,4,2,1,,129.0323,1.1128
机动战士高达：跨时之战,,2025,4,MOV,1,2251016,2,645,2025-4-16 11:20,25,38,16,7,3,,84.2697,1.0266
全修。,,2025,1,TV,12,2251008,1,452,2025-4-16 09:51,10,16,7,1,8,,45.2381,1.3836
战队红战士在异世界当冒险者,,2025,1,TV,12,2251004,1,184,2025-4-16 08:58,6,6,5,0,2,,73.6842,1.2071
金牌得主,,2025,1,TV,13,2250991,7,818,2025-4-16 00:32,62,11,6,1,1,,162.9630,0.7769
魔法使光之美少女！！～未来之日～,,2025,1,TV,12,2250990,1,220,2025-4-16 00:30,16,1,2,1,1,,142.8571,1.1369
BanG Dream! Ave Mujica,,2025,1,TV,13,2250986,22,1553,2025-4-16 00:18,22,13,4,12,106,,-106.3694,1.5129
在地下城寻求邂逅是否搞错了什么Ⅴ 丰饶的女神篇,,2024,10,TV,15,2250801,0,85,2025-3-23 23:59,1,2,1,0,0,,100.0000,0.7071
坂本日常,,2025,1,TV,11,2250795,0,169,2025-3-23 23:06,0,0,4,4,7,,-120.0000,0.8327
蓝箱,,2024,10,TV,25,2250791,3,167,2025-3-23 21:53,1,3,9,4,0,,5.8824,0.8022
一杆青空,,2025,1,TV,12,2250787,1,108,2025-3-23 21:04,2,8,1,1,1,,69.2308,1.0659
我与尼特女忍者的莫名同居生活,,2025,1,TV,24,2250782,0,90,2025-3-23 20:42,0,1,1,0,0,,50.0000,0.5000
在冲绳喜欢上的女孩方言讲得太过令人困扰,,2025,1,TV,12,2250779,1,161,2025-3-23 19:57,3,8,1,2,1,,66.6667,1.1353
我和班上最讨厌的女生结婚了。,,2025,1,TV,12,2250773,0,131,2025-3-23 18:38,0,1,2,1,6,,-120.0000,1.0770
地。 ―关于地球的运动―,,2024,10,TV,25,2250020,6,420,2025-3-16 00:47,0,4,8,4,12,,-85.7143,1.1249
平凡职业造就世界最强 第三季,,2024,10,TV,16,2247146,1,61,2025-2-22 22:51,0,0,1,1,0,,-50.0000,0.5000
没能成为魔法师的女孩子的故事,,2024,10,TV,12,2247142,0,54,2025-2-22 22:31,0,0,0,0,1,,-200.0000,0.0000
你的颜色,,2024,8,MOV,1,2247131,4,346,2025-2-22 20:42,3,9,13,5,3,,12.1212,1.0662
妻子变成小学生。,,2024,10,TV,12,2245532,0,102,2025-2-7 22:06,0,0,4,1,0,,-20.0000,0.4000
悲喜渔生,,2024,10,TV,12,2245527,1,210,2025-2-7 21:27,8,17,5,0,1,,100.0000,0.8424
偶像大师 闪耀色彩 第二季,,2024,10,TV,12,2245511,0,71,2025-2-7 18:28,0,0,0,0,2,,-200.0000,0.0000
神选 第二季,,2024,10,TV,12,2245392,0,50,2025-2-6 16:58,0,0,1,0,0,,0.0000,0.0000
魔法光源股份有限公司,,2024,10,TV,12,2245386,1,64,2025-2-6 16:19,0,1,0,0,0,,100.0000,0.0000
顶尖恶路,,2024,10,TV,12,2245384,0,57,2025-2-6 15:59,1,0,2,0,0,,66.6667,0.9428
雄狮少年2,,2024,12,MOV,1,2245383,5,761,2025-2-6 15:40,19,4,1,2,23,,-12.2449,1.8804
去参加联谊，却发现完全没有女生在场,,2024,10,TV,12,2245382,0,45,2025-2-6 15:35,0,1,0,0,0,,100.0000,0.0000
真的要结婚吗,,2024,10,TV,12,2245380,0,57,2025-2-6 15:23,0,1,0,0,0,,100.0000,0.0000
女仆冥土小姐。,,2024,10,TV,12,2245188,0,44,2025-2-4 22:29,0,0,0,0,0,,0.0000,0.0000
战国⁣妖狐 千魔混沌篇,,2024,7,TV,22,2245183,0,29,2025-2-4 21:44,0,0,0,0,1,,-200.0000,0.0000
哪吒之魔童闹海,,2025,1,MOV,1,2245177,14,2084,2025-2-4 21:14,104,42,11,5,8,,134.7059,1.0475
LOVELIVE! 虹咲学园学园偶像同好会完结篇第1章,,2024,9,MOV,1,2244548,0,120,2025-1-29 00:49,9,1,0,0,0,,190.0000,0.3000
魔王2099,,2024,10,TV,12,2236217,4,364,2024-12-31 21:38,16,17,8,0,1,,111.9048,0.8784
乱马½(2024),,2024,10,TV,12,2234771,1,389,2024-12-29 23:16,30,11,1,2,0,,156.8182,0.7507
叹气的亡灵想隐退,,2024,10,TV,13,2233420,0,164,2024-12-28 23:22,3,2,2,1,0,,87.5000,1.0533
精灵幻想记2,,2024,10,TV,12,2233418,0,89,2024-12-28 23:14,1,1,1,0,0,,100.0000,0.8165
恋语轻唱,,2024,4,TV,12,2233417,0,124,2024-12-28 23:02,0,0,1,0,5,,-166.6667,0.7454
死神：千年血战篇-相克谭-,,2024,10,TV,13,2233409,1,270,2024-12-28 22:08,18,13,1,1,1,,135.2941,0.9037
剧场版 风都侦探 假面骑士Skull的肖像,,2024,11,MOV,1,2215805,1,238,2024-12-23 00:43,8,1,1,0,0,,170.0000,0.6403
可爱史莱姆噗尼露,,2024,10,TV,12,2215801,4,668,2024-12-23 00:30,42,5,1,1,0,,179.5918,0.5707
极速车魂 第二季,,2024,10,TV,12,2215798,0,206,2024-12-23 00:17,0,7,1,0,0,,87.5000,0.3307
Love Live! Superstar!! 第三季,,2024,10,TV,12,2215672,2,255,2024-12-22 16:47,1,6,3,0,2,,33.3333,1.1785
胆大党,,2024,10,TV,12,2215662,13,1263,2024-12-22 14:08,37,33,16,5,1,,108.6957,0.9401
2.5次元的诱惑,,2024,7,TV,24,2214173,1,377,2024-12-22 00:13,7,5,3,0,2,,88.2353,1.2780
Thunderbolt Fantasy 东离剑游纪4,,2024,10,TV,12,2214165,0,350,2024-12-21 22:48,2,10,3,4,1,,40.0000,1.0677
Re:从零开始的异世界生活 第三季 袭击篇,,2024,10,TV,8,2208925,1,559,2024-12-1 04:38,0,4,6,0,1,,18.1818,0.8332
金猴降妖,,1985,1,MOV,1,2207988,0,417,2024-11-23 21:35,2,2,0,0,0,,150.0000,0.5000
天书奇谭,,1983,1,MOV,1,2207987,1,393,2024-11-23 21:35,4,3,0,0,0,,157.1429,0.4949
哪吒闹海,,1979,5,MOV,1,2207986,1,552,2024-11-23 21:26,10,0,0,0,2,,133.3333,1.4907
大闹天宫,,1964,7,MOV,1,2207984,1,503,2024-11-23 21:18,10,0,0,0,0,,200.0000,0.0000
中国奇谭,,2023,1,WEB,8,2207982,0,341,2024-11-23 20:59,0,0,0,0,1,,-200.0000,0.0000
六样情——《黑神话：悟空》章节动画原版合集,,2024,9,WEB,6,2207981,3,924,2024-11-23 20:53,39,4,4,0,0,,174.4681,0.6003
英雄联盟：双城之战 第二季,,2024,11,WEB,9,2207980,11,1553,2024-11-23 20:37,21,60,21,9,7,,66.9492,1.0420
蓦然回首,,2024,6,MOV,1,2204605,18,3093,2024-10-26 18:29,93,65,20,0,4,,133.5165,0.8404
罗密欧与朱丽叶,,2007,4,TV,24,2204134,2,768,2024-10-22 22:38,0,1,3,0,0,,25.0000,0.4330
海贼王 粉丝来信,,2024,10,TV,1,2204115,5,1749,2024-10-22 20:21,28,0,0,0,0,,200.0000,0.0000
漩涡,,2024,9,WEB,4,2204009,0,1042,2024-10-21 22:31,1,3,6,0,0,,50.0000,0.6708
物语系列 外传季&怪物季,,2024,7,WEB,14,2203799,11,2378,2024-10-20 02:03,58,13,3,0,0,,174.3243,0.5215
机动战士高达 复仇的安魂曲,,2024,10,WEB,6,2203664,2,1617,2024-10-18 20:30,0,0,0,4,7,,-163.6364,0.4810
异世界失格,,2024,7,TV,12,2203061,2,992,2024-10-13 22:01,3,2,2,2,0,,66.6667,1.1547
杀手寓言,,2024,4,TV,25,2203047,1,1099,2024-10-13 21:32,16,3,2,2,1,,129.1667,1.1719
拉面赤猫,,2024,7,TV,12,2203043,0,772,2024-10-13 21:09,0,1,0,0,1,,-50.0000,1.5000
魔导具师妲莉亚永不妥协,,2024,7,TV,12,2203042,0,798,2024-10-13 20:54,0,0,3,0,0,,0.0000,0.0000
为何我的世界被遗忘了？,,2024,7,TV,12,2203039,1,899,2024-10-13 20:41,0,1,0,0,1,,-50.0000,1.5000
大叔新人冒险者，被最强小队拼死锻炼后无敌了。,,2024,7,TV,12,2203034,1,817,2024-10-13 20:30,0,3,1,2,1,,-14.2857,1.1249
精灵小姐瘦不了。,,2024,7,TV,13,2203029,0,789,2024-10-13 20:03,0,1,0,0,2,,-100.0000,1.4142
异世界悠闲纪行～边养娃边当冒险者～,,2024,7,TV,12,2203026,0,771,2024-10-13 19:46,0,0,1,0,0,,0.0000,0.0000
古连泰沙U,,2024,7,TV,13,2202206,1,1333,2024-10-6 23:24,0,2,0,1,9,,-141.6667,1.1149
依靠被嫌弃的【状态异常技能】而成为最强的我最终蹂躏一切,,2024,7,TV,12,2202205,3,1052,2024-10-6 23:14,0,7,4,1,0,,50.0000,0.6455
前辈是男孩子,,2024,7,TV,12,2202202,0,1074,2024-10-6 22:58,1,11,2,0,0,,92.8571,0.4574
夜樱家的大作战,,2024,4,TV,27,2202178,2,1218,2024-10-6 19:03,0,0,5,3,1,,-55.5556,0.6849
【我推的孩子】第二季,,2024,7,TV,13,2202176,6,2703,2024-10-6 18:52,3,34,17,1,3,,56.8966,0.8328
哎咕岛消失的舔甜歌姬,,2024,7,TV,12,2202138,3,1522,2024-10-6 13:30,18,10,6,2,0,,122.2222,0.9162
杖与剑的魔剑谭,,2024,7,TV,12,2202137,3,1154,2024-10-6 13:29,4,4,13,4,0,,32.0000,0.9261
这个世界漏洞百出,,2024,7,TV,13,2202136,0,988,2024-10-6 13:27,2,2,2,0,1,,57.1429,1.2936
地下城里的人们,,2024,7,TV,12,2202135,0,1175,2024-10-6 13:25,3,14,4,0,0,,95.2381,0.5754
ATRI -My Dear Moments-,,2024,7,TV,13,2202109,1,1244,2024-10-6 01:26,1,10,7,1,2,,33.3333,0.9920
